value,frequency,weight
"cost","3","1968"
"(2.5.7","1","1967"
"transform.position","2","1967"
"doesn't)","1","1967"
"safety,","2","1966"
"3.1.2","1","1966"
"Py4JJavaError","1","1966"
"errors,","3","1966"
"(Error","2","1966"
"Allocator","1","1965"
"(GPU_0_bfc)","1","1965"
"`git","2","1963"
"SparkContext","2","1963"
"0xff","2","1963"
"i/o","2","1962"
"Python@3.10","1","1962"
"reporting","3","1962"
"ViteJS","1","1962"
"Deprecating","1","1962"
"Assets","2","1961"
"Pager","3","1961"
"recv","3","1961"
"OK","2","1961"
"[object","1","1960"
"subfolders","2","1960"
"lockable","1","1960"
"instance].__self__?","1","1960"
"3.2","3","1958"
"'append'","1","1958"
"Arrows","1","1957"
"$PATH","2","1956"
"pseudo-class","2","1955"
"Robot","3","1955"
"tailwindcss-cli","1","1955"
"Chainable...","1","1955"
"Immutable","1","1954"
"Invite","1","1953"
"tracker","1","1953"
".xlsx","2","1952"
"person","3","1951"
"Item","3","1951"
"Meaning","2","1951"
"""session.storage.factory.service""","1","1950"
"center.conan.io","1","1950"
"online","2","1950"
"""line","2","1950"
"NEEDS-COMPOSITING-BITS-UPDATE","1","1950"
"VSCode:","2","1950"
"--constructor-args","1","1950"
"MavenDeployment","1","1950"
"laid","1","1950"
"NEEDS-PAINT","1","1950"
"out:","1","1950"
"Error:RenderBox","1","1950"
"StreamProvider<QuerySnapshot>.value","1","1950"
"TFS30063","1","1949"
"ad","2","1949"
"SplashScreen","3","1949"
"react-testing-library?","2","1949"
"(arm)?","1","1948"
"Vulnerabilities","2","1948"
"highlighted","2","1948"
"attempts","3","1947"
"14.0,","1","1946"
"'MockTechPost'","1","1946"
"databricks?","2","1946"
"Referencing","2","1946"
"grafana","3","1945"
"'noImplicitOverride'","1","1944"
"repeating","2","1944"
"Intellisense","3","1944"
"PyTorch?","2","1944"
"examples","3","1944"
"mandatory","1","1943"
"sequelize-auto","1","1943"
"cloud_firebase","1","1943"
"Testflight","2","1943"
"RVO","1","1943"
"Smooth","1","1943"
"SMS","2","1943"
"NavGraph","2","1942"
"descendant","2","1942"
"ListView.builder","2","1941"
"HtmlWebpackPlugin","1","1941"
"Webpack5","1","1941"
"'hash'","1","1941"
"(Java","2","1941"
"as...""","1","1940"
"function's","2","1940"
"SSM","2","1940"
"tells","1","1940"
"py","3","1940"
"responses","2","1940"
"oh-my-posh","1","1940"
"2.4.3","2","1940"
"Zlib","1","1939"
"breakpoint","2","1939"
"ETH","2","1939"
"palette","2","1938"
"algorithm","3","1938"
"binance","3","1938"
"classnames","1","1937"
"TailwindCss","1","1937"
"'typescript'","1","1936"
"CDK:","1","1936"
"bot?","2","1935"
"Note:","2","1935"
"App:","2","1934"
"dc.services.visualstudio.com","1","1933"
"'MongoNotConnectedError'","1","1933"
"botocore.exceptions.ConnectTimeoutError:","1","1933"
"member's","1","1933"
"'___'","1","1932"
"amazon","2","1932"
"APPLICATION","1","1931"
"""NO","1","1931"
"SELECTED""","1","1931"
"""mongodb""","1","1931"
"DiagnosticReports","1","1930"
"operating","1","1929"
"node-sass@4.14.1","2","1929"
"system""","1","1929"
"21H2","1","1929"
"hold","2","1929"
"podman","2","1927"
"Operator","2","1927"
"Lets","1","1927"
"""pygame""","1","1926"
"transformations","2","1926"
"UnboundLocalError:","2","1926"
"trait","2","1926"
"Clangd)","1","1925"
"'isServer')""","1","1924"
"orignation","1","1924"
"notebook?","2","1924"
"6.x","3","1924"
"folder""","1","1922"
"Torchvision","1","1922"
"ImageFolder","1","1922"
"years","3","1921"
"Babel","2","1921"
"'variablename')","1","1920"
"30.0","1","1920"
"things","2","1920"
"apparently","2","1919"
"ALL","2","1918"
"Keyboard","3","1918"
"exists,","2","1917"
"'unexpected","1","1917"
"Github?","2","1917"
"EOF'?","1","1917"
"text?","3","1916"
"Micro","2","1916"
"alloca()","1","1916"
"device,","2","1916"
"127.0.0.1:8080","2","1915"
"id,","2","1915"
"web3?","2","1915"
"exist)","2","1914"
"store/slice?","1","1914"
"inferring","3","1913"
"""FirebaseCore""","1","1913"
"RTSP","2","1913"
"Vercel?","2","1913"
"keyserver","1","1912"
"translated","1","1912"
"Generating","3","1912"
"Crashlytics","2","1911"
"Quantity,","1","1911"
"opacity","2","1911"
"exception:'","1","1910"
"5.30.0","1","1910"
"code=INVALID_ARGUMENT,","1","1910"
"opencv-python","1","1910"
"RNUILib","1","1910"
"error=>","1","1910"
"value=undefined,","1","1910"
"Token?","2","1910"
"'react-router'","2","1910"
"ethers","1","1910"
"requirement""","1","1910"
"vite?","2","1910"
"(argument=""value"",","1","1910"
"version=bignumber/5.5.0)","1","1910"
"alarm","3","1910"
"uncompressed","1","1908"
"R+","1","1908"
"resources.arsc","1","1908"
"4-byte","1","1908"
"message.member.hasPermission","1","1907"
"(Version","1","1907"
"Webassembly","3","1906"
"UITableView","1","1906"
"seccomp","1","1906"
"Unmatched","1","1905"
"Hibernate","3","1905"
"epoch","1","1905"
"lightning?","1","1905"
"manifests","2","1905"
"selector:","1","1905"
"Storage:","2","1904"
"playsound()","1","1903"
"'uid')","2","1903"
"Family","2","1903"
"""InvalidOperation:","1","1902"
"pipeline:""","1","1902"
"mocked","2","1902"
"'torch._six'","2","1902"
"subscribe","3","1900"
"start:","2","1900"
"bep20","1","1900"
"':app:lintVitalRelease'.","1","1900"
"UWP","3","1899"
"Balance","2","1899"
"using'","1","1897"
"As","2","1897"
"'Format","1","1897"
"tooles","1","1897"
"sandbox","3","1897"
"id=DataTables_Table_0","1","1897"
"SqlAlchemy","2","1897"
"code'","1","1897"
"rename)","1","1897"
"'sort","1","1897"
"data-testid?","1","1897"
"2019:","2","1896"
"Angular-cli","1","1896"
"iconbutton","1","1896"
"ERR_INVALID_URL","1","1896"
"recommended:","1","1895"
"met","3","1895"
"upgraded.","1","1895"
"'torch'","2","1894"
"plan","3","1893"
"(Flutter)","2","1893"
"bundler","2","1893"
"derive","2","1893"
"com.apple.transporter.mediatoolkit/2.2.0","1","1893"
"Better","2","1892"
"testnet","2","1891"
"mkdir:","3","1891"
"C++20","2","1891"
"'length'","2","1890"
"Coroutine","1","1890"
"(Stop","1","1890"
"Instantly)?","1","1890"
"useCallback","1","1890"
"Cancel","1","1890"
"Block","1","1890"
"Scheduler","3","1890"
"Currently","1","1890"
"unknown.","1","1890"
"global.performance.now","1","1889"
"eslint-disable-line","1","1888"
"FFmpeg","3","1888"
"resolve:","3","1888"
"""'unsafe-eval'""","1","1887"
"'script-src'","1","1887"
"svn","1","1887"
"Insecure","1","1887"
"y-axis","2","1887"
"(Typescript)","3","1886"
"""Lucida","1","1886"
"2,","2","1886"
"org.jetbrains.android.","1","1886"
"plugin:","1","1886"
"org.sonarsource.scanner.maven:sonar-maven-plugin:3.9.0.2155:sonar","1","1886"
"incompatibility","1","1886"
"essential","1","1886"
"scratch.""","1","1886"
"Blank","3","1886"
"Bright""","1","1886"
"startup:","1","1886"
"15.0.0","1","1884"
"Functions?","2","1884"
"arrange","2","1884"
"bridge","2","1884"
"mount""","2","1883"
"cut","3","1883"
"expressions","2","1883"
"""Exception:","1","1882"
"1""?","1","1882"
"""post_name""","1","1882"
"host:","2","1880"
"'service'","2","1880"
"Favicon","2","1880"
"Shared","3","1880"
"faker.js","1","1879"
"Bean","3","1879"
"403,","2","1879"
"keywords","2","1878"
"Keyvault","2","1878"
"Trainer","2","1878"
"org.apache.spark.storage.StorageUtils$","1","1878"
"21.04?","1","1878"
"Many","2","1877"
"'Date.toLocaleString()'?","1","1877"
":The","2","1876"
"self-signed","3","1876"
":cannot","1","1874"
"tcp:","3","1874"
"/storage/emulated/0/android/data/","1","1874"
"(OSX)","1","1874"
"driver:","3","1874"
"prerequisites","1","1873"
"glibc","1","1873"
"libstdc++","1","1873"
"server's","1","1873"
"vscod","1","1873"
"redirection","2","1872"
"MSW:","1","1871"
"push:","1","1870"
"Remote:","1","1870"
"typed","3","1870"
"..\AppData\Local\Temp\spring.kafka*","1","1869"
"AccessDeniedException:","1","1869"
"EmbeddedKafka","1","1869"
"React-router","3","1869"
"2.6.X","1","1869"
"'DateTime'","1","1869"
"'instanceof'","1","1869"
"'Timestamp'","1","1869"
"Right-hand","1","1869"
"1.4","1","1868"
"V3.0.0","1","1868"
"hex","3","1868"
"Monterey)","2","1868"
"df.append","1","1868"
"pd.concat","1","1868"
"V1.1.1","1","1868"
"Serum","1","1868"
"VSC,","1","1867"
"""extension:","1","1867"
"bidding","2","1867"
"focus:outline-none","1","1867"
"1):","2","1867"
"Navbar","2","1866"
"fully","1","1866"
"refer","2","1866"
"':app:checkDebugAarMetadata","1","1866"
"distutils,","1","1866"
"wasn't","2","1866"
"Last","2","1865"
"Routes","2","1865"
"""library""","1","1864"
"'abstract","1","1864"
"getDevelopmentMode()'","1","1864"
"os.PathLike","3","1863"
"API.get_user()","1","1862"
"2.10","1","1862"
"​","1","1862"
"2.5.x:","1","1862"
"contextMenu","1","1861"
"int()","1","1861"
"(settings.py)","1","1861"
"WebAssembly.instantiate():","1","1861"
"[UICollectionViewRecursion]","1","1861"
"1070","1","1861"
"'C:\tools\flutter\packages\flutter_tools\gradle\flutter.gradle'","1","1861"
"zoom","2","1860"
"dayjs()","1","1859"
"sparkcontext","1","1859"
"None.org.apache.spark.api.java.JavaSparkContext","1","1859"
"net6.0","2","1859"
"_2to3","1","1858"
"installation:use","1","1858"
"634)","1","1858"
"(PEP","1","1858"
"simpleeval","1","1858"
"macros","3","1858"
"[XXXXXX]","2","1858"
"bodies","2","1857"
"Expandable","2","1857"
"NoSuchMethodError:","2","1857"
"365?","1","1856"
"Hide/remove","1","1856"
"(default-compile):","1","1855"
"org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile","1","1855"
"psutil","2","1855"
"Docker-Compose","2","1855"
"compiling:","1","1855"
"VMware","2","1854"
"Basics:","1","1854"
"'AssetBundle'","1","1854"
"AssetBundle'","1","1854"
"DataTable","3","1853"
"owners","1","1853"
"UML","3","1852"
"Generic","2","1851"
"FirebaseApp","2","1851"
"UiPath","3","1850"
"traversal","2","1850"
"card?","1","1849"
"ANY","1","1849"
"chrome,","1","1848"
"`server.createHandler()`","1","1848"
"'initialize')","1","1848"
"cryptotabbrowser","1","1848"
"'datasets')and(reading","1","1848"
"AccountInfo","1","1847"
"Verified","1","1847"
"Codes","1","1847"
"dynamodb","2","1847"
"repo's","2","1847"
"""ه""","1","1847"
"'['","1","1847"
"""o"",","1","1847"
"c++17","2","1847"
"Rust:","1","1847"
"U+006f","1","1847"
"com.fasterxml.jackson.databind.exc.InvalidTypeIdException:","1","1847"
"U+0647","1","1847"
"Craco","2","1846"
"preprocessor","2","1846"
"Microsoft.UI.Xaml","1","1845"
"Fail2Ban","1","1845"
"30004:","1","1844"
"nvalid","1","1844"
"craco","2","1844"
"allocated","1","1844"
"snake","2","1844"
"Experimental","2","1843"
"devops","3","1843"
".swiftsourceinfo","1","1842"
"false?","2","1842"
"(state)","1","1842"
"Recoil.js","1","1842"
"atoms","1","1842"
"[1049]","2","1841"
"terms","2","1841"
"(3:27)","1","1841"
"replace/update","1","1841"
"macOS-arm64","2","1841"
"Artifactory?","1","1841"
"motion","3","1840"
"reference:","3","1840"
"framer","3","1840"
"`warnKey`","1","1840"
"C:\","1","1839"
"LaTex?","1","1839"
"C:\xampp","1","1839"
"PlayStore","2","1839"
"FILE","2","1839"
"cmdlet","2","1839"
"Compatibility","2","1838"
"separate?","1","1838"
"ORM","2","1838"
"Widget","3","1838"
"2021-09","1","1838"
"Order","3","1837"
"(dtype('<U32'),","1","1837"
"""<[_]>""","1","1837"
"'multiply'","1","1837"
"dtype('<U32'))...)","1","1837"
"sklearn.manifold.TSNE","1","1837"
"persistent","2","1837"
"Doctrine","2","1837"
"opt-in","1","1837"
"Links","2","1836"
"building.","2","1836"
"LongPath","1","1835"
"$digest","1","1834"
"BI:","1","1834"
"there's","3","1834"
"Helper","1","1834"
"[$rootScope:inprog]","1","1834"
"$http","1","1834"
"$q","1","1834"
"17.","1","1834"
"'nb_epoch'","1","1834"
"@use","2","1834"
"allocation","3","1834"
"CBOR","2","1834"
"keyboard'","2","1834"
"file)","2","1833"
"8""","1","1833"
"android:hintTextColor","1","1833"
"""tailwindcss","1","1833"
":expo:compileDebugKotlin","1","1832"
"countries","1","1831"
"c","3","1831"
"com.android.build.gradle.internal.tasks.Workers$ActionFacade","2","1831"
"'https://restcountries.eu/rest/v2/all'","1","1831"
"Dashboard","3","1831"
"signals","2","1831"
"Archive","2","1830"
"':app:debugRuntimeClasspath'","2","1830"
"Crypto","2","1830"
"HeadlessUI","2","1830"
"0.66","1","1830"
"'timers/promises","1","1830"
"fish","1","1830"
"'folly::exception_wrapper::from_exception_ptr(std::exception_ptr&&)'","1","1830"
"SQL:","1","1829"
"hook?","2","1829"
"highlighting","1","1829"
"HTTPS?","1","1829"
"slice?","2","1829"
"Sur,","2","1829"
"duoDigit","1","1829"
"Extension:","1","1829"
"delay","2","1828"
"Mono","2","1828"
"'clinic'","1","1827"
"Mapbox","3","1827"
"aws_security_group:","1","1827"
"effected","1","1827"
"""security_groups"",","1","1827"
"ChunkLoadError","1","1827"
"""prefix_list_ids"",","1","1827"
"dragging","3","1827"
"(org.apache.commons","1","1827"
"'string'.ts(2339)","1","1827"
"""self""","1","1827"
"""ingress"":","1","1827"
"splitting:","1","1827"
"1s","1","1826"
"1s),","1","1826"
"0s","1","1826"
"likely","2","1826"
"fail.","2","1826"
"'FirebaseMessaging'","1","1826"
"'configure'","1","1826"
"PNG","3","1826"
"(0s","1","1826"
"(ConnectionError)","1","1826"
"arrangements","1","1826"
"Minimizer,","1","1825"
"""15.2-15.3""","1","1825"
"failer","1","1825"
"ERROR!","2","1825"
"(13:","2","1825"
"denied)","2","1825"
"ropsten","2","1824"
"kubelet","3","1824"
"'react'","2","1823"
"2.7","2","1823"
"request;","1","1823"
"getUpdates","1","1823"
"f2py.exe","1","1823"
"Liferay","1","1823"
"Conflict:","1","1823"
"somewhere,","1","1823"
"ENOENT","3","1822"
"string?","2","1822"
"places","2","1821"
"pdfplumber","2","1821"
"warning?","1","1821"
"'NgIterable<any>","1","1820"
"Spring:RestTemplate:","1","1820"
"HttpMessageConverter","1","1820"
"turning","2","1820"
"Music(discord.js","1","1820"
"defeat?","1","1820"
"monsters","1","1820"
"undefined'.","1","1820"
"com.fasterxml.jackson.dataformat.xml.XmlMapper.coercionConfigDefaults()","1","1819"
"issue.","2","1819"
"(Collapse)","2","1819"
"ESERVFAIL","1","1818"
"_mongodb._tcp.cluster0.abcd0.mongodb.net","1","1818"
"Filebeat","3","1818"
"querySrv","1","1818"
"minecraft","2","1818"
"involved","1","1818"
"""ns","3","1817"
"controls","3","1817"
"Cookies","2","1817"
"Creator","1","1816"
"output:","1","1816"
"dataSource","2","1816"
"order?","3","1816"
"DISABLED","1","1816"
"GR-805","1","1816"
"DX9","1","1816"
"NVD3DREL:","1","1816"
"type,expected","1","1815"
"autowire,","1","1815"
"qualifying","1","1815"
"maven-default-http-blocker","1","1814"
"Illuminate\Database\QueryException","2","1814"
"setup()","3","1814"
"Serverless:","2","1814"
"""next-redux-wrapper""","1","1813"
"""Redux-ToolKit""","1","1813"
"JS)","2","1813"
"""Next.js"",","1","1813"
"bots","2","1813"
"""node""-","1","1812"
"(12.0.1)","1","1812"
"Credentials","3","1812"
"files,","3","1812"
"(8gb)","1","1812"
"'no","2","1812"
"79%","2","1811"
"surface","2","1811"
"CSV:","2","1811"
"disclose","2","1811"
"Mark","2","1810"
"OpenID","2","1810"
"APIs?","2","1809"
"useSelector","2","1809"
"Graphics","2","1809"
"Riverpod:","2","1809"
"S->SS|bS|a","1","1808"
"installs","2","1808"
"accepted","1","1808"
"Version/Executable","1","1808"
"WinForms","1","1808"
"Designer...""","1","1808"
"""Loading","1","1808"
"libvulkan.so:","1","1807"
"composer.json","3","1807"
"Distributed","3","1807"
"upgrade,","1","1807"
"commonly","1","1806"
"_ZN2at6detail10noopDeleteEPv?","1","1806"
"Confluent","2","1806"
"preface","1","1806"
"referencing","2","1806"
"build:","2","1805"
"reserve","1","1805"
"event?","2","1805"
"'>='","1","1804"
"DefaultProjectDescriptor","1","1803"
"legend","3","1803"
"TopAppBar","2","1802"
"perform:","3","1802"
"Elementor","2","1801"
"Create_Service","1","1801"
"React-query","2","1801"
"appstream","1","1800"
"roblox","1","1800"
"request:","3","1800"
"gameID","1","1800"
"game?","1","1800"
"plz","1","1798"
"react+node","1","1798"
"continuation","2","1798"
"space?","3","1797"
"'path'","1","1797"
"bare","2","1797"
"Were","2","1796"
"443","2","1796"
"(app)","1","1796"
"localhost)","1","1794"
"1.2.x","1","1793"
"third","3","1793"
"categories","2","1793"
"work:","2","1793"
"datepipe","1","1791"
"(x,","1","1790"
"tuple)?","1","1790"
"10.15.7","1","1790"
"(""Could","1","1790"
"ArrowInvalid:","1","1790"
"y)","1","1790"
"'user')","1","1790"
"grpc.WithInsecure","1","1789"
"OOM","3","1789"
"insecure.NewCredentials()","1","1789"
"(Not","3","1788"
"locating","2","1788"
"SSLError(SSLCertVerificationError(1,","1","1788"
"(code=exited,status=203/Exec)","1","1788"
"'style')""","1","1788"
"(_ssl.c:1123)","1","1788"
"Alternate","1","1788"
"assertions,","1","1787"
"Plotting","3","1787"
"saveObject","1","1787"
"etherscan.io?","1","1786"
"PrimeNG","3","1786"
"facebook-connect","1","1785"
"'Db'","1","1785"
"""For","1","1785"
"disabled""","1","1785"
"solana:","1","1783"
"malicious","2","1783"
"Laravel:","3","1783"
"flutter.","2","1783"
"totalsupply()","1","1783"
"refused.","2","1783"
"""Connection","3","1782"
"onInit","1","1782"
"files""","1","1782"
"""Source","1","1782"
"Svelte:","2","1782"
"'vue'","2","1781"
"data-toggle","1","1781"
"enclosed","1","1781"
"quotation","1","1781"
"attributes?","1","1781"
"marks.""","1","1781"
"'logloss'","1","1780"
"enzyme?","1","1780"
"'binary:logistic'","1","1780"
"objective","1","1780"
"rsync","1","1779"
"-1","3","1779"
"present]","1","1779"
"Multi-thread","1","1779"
"resource""","1","1779"
"'display')","1","1778"
"(JavaFX","1","1777"
"construct","2","1777"
"(surface","1","1776"
"Cosmos","3","1776"
"go)","1","1776"
"useQueries","1","1776"
"Services:","2","1774"
"org.gradle.api.publication.maven.internal.MavenPomMetaInfoProvider","1","1773"
"macOs","2","1773"
"v17.0.1","1","1772"
"corepack","1","1772"
"grails","1","1771"
"lazyverticalgrid","1","1770"
"'_ctypes'","1","1770"
"7:","2","1770"
"char*'","1","1769"
"'std::__cxx11::basic_string<char>'}","1","1769"
"HookWebpackError:","1","1769"
